epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.697,1.7961,2.94748,2.084,0.00333,1,0.1675,0.08983,0.88396,3.00092,1.53922,8e-05,8e-05,8e-05
2,3.67418,1.41967,2.75295,1.9071,0.00333,1,0.48389,0.31104,0.89638,3.01355,1.70247,0.000176436,0.000176436,0.000176436
3,4.6796,1.36448,2.66397,1.89393,0.00333,1,0.46668,0.27176,0.83561,3.07705,1.73221,0.000268912,0.000268912,0.000268912
4,5.75036,1.46338,2.67204,1.83284,0.00333,1,0.52267,0.30737,0.91165,3.12562,1.76661,0.000357428,0.000357428,0.000357428
5,6.73919,1.39359,2.67351,1.86135,0.00333,1,0.54806,0.29567,0.92933,3.19088,1.76763,0.000441984,0.000441984,0.000441984
