epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.10859,0.48294,0.32264,0.97196,0.99862,1,0.995,0.97372,0.24061,0.2013,0.76451,0.000647059,0.000647059,0.000647059
2,11.6327,0.51797,0.3462,0.97756,0.98768,1,0.995,0.9515,0.31199,0.25187,0.77986,0.00129205,0.00129205,0.00129205
3,15.7818,0.54835,0.37447,0.9809,0.97556,0.99793,0.99451,0.93277,0.33956,0.29317,0.8037,0.00191504,0.00191504,0.00191504
4,20.0395,0.54832,0.37677,0.98821,0.98935,1,0.995,0.93857,0.3224,0.29319,0.78785,0.001901,0.001901,0.001901
5,24.2413,0.51189,0.3737,0.97353,0.97573,0.975,0.98389,0.90652,0.33874,0.4028,0.79218,0.001868,0.001868,0.001868
6,28.4171,0.51316,0.3688,0.97498,0.99841,1,0.995,0.94251,0.31822,0.26066,0.80325,0.001835,0.001835,0.001835
7,32.7423,0.52757,0.38238,0.99381,0.99839,1,0.995,0.96422,0.29118,0.2657,0.78355,0.001802,0.001802,0.001802
8,36.8337,0.50821,0.38034,0.96221,0.99765,1,0.995,0.97293,0.28305,0.26337,0.77613,0.001769,0.001769,0.001769
9,41.154,0.48518,0.35632,0.94531,0.99537,1,0.995,0.94242,0.28673,0.32335,0.78039,0.001736,0.001736,0.001736
10,45.3238,0.48643,0.35298,0.96641,0.99627,1,0.995,0.9696,0.25649,0.28207,0.78152,0.001703,0.001703,0.001703
11,49.4973,0.4801,0.3402,0.94384,0.99146,1,0.995,0.95684,0.27916,0.26856,0.78256,0.00167,0.00167,0.00167
12,53.7781,0.47006,0.35959,0.94321,0.99852,1,0.995,0.97421,0.25807,0.24353,0.78216,0.001637,0.001637,0.001637
13,57.8395,0.47946,0.34956,0.95083,0.9888,1,0.995,0.97165,0.25225,0.22915,0.76529,0.001604,0.001604,0.001604
14,62.1783,0.47308,0.34193,0.94518,0.99644,1,0.995,0.95848,0.24162,0.23745,0.77556,0.001571,0.001571,0.001571
15,66.2591,0.48249,0.34147,0.96054,0.98423,1,0.995,0.96864,0.23658,0.23893,0.77043,0.001538,0.001538,0.001538
16,70.5275,0.42572,0.31122,0.92404,0.99475,1,0.995,0.96581,0.22797,0.2644,0.76775,0.001505,0.001505,0.001505
17,74.7763,0.46681,0.3334,0.95865,0.9986,1,0.995,0.97275,0.23937,0.20002,0.7683,0.001472,0.001472,0.001472
18,78.9484,0.47692,0.34093,0.95436,0.99724,1,0.995,0.97829,0.23997,0.21776,0.77235,0.001439,0.001439,0.001439
19,83.2381,0.45023,0.32949,0.93187,0.99815,1,0.995,0.97008,0.23773,0.19922,0.77267,0.001406,0.001406,0.001406
20,87.3313,0.43629,0.31413,0.92951,0.99788,1,0.995,0.96568,0.26852,0.21486,0.76493,0.001373,0.001373,0.001373
21,91.5432,0.42245,0.30096,0.92863,0.99856,1,0.995,0.96284,0.23771,0.21927,0.77224,0.00134,0.00134,0.00134
22,95.679,0.42029,0.30693,0.9237,0.99696,1,0.995,0.97508,0.21074,0.23401,0.76225,0.001307,0.001307,0.001307
23,99.8546,0.4068,0.30063,0.91867,0.99762,1,0.995,0.96543,0.25347,0.21391,0.76824,0.001274,0.001274,0.001274
24,104.134,0.40819,0.3002,0.92207,0.99784,1,0.995,0.97467,0.23199,0.20042,0.75755,0.001241,0.001241,0.001241
25,108.232,0.41154,0.28985,0.91303,0.99825,1,0.995,0.97549,0.23514,0.20665,0.76214,0.001208,0.001208,0.001208
26,112.541,0.4096,0.2953,0.91821,0.99863,1,0.995,0.98155,0.20789,0.19749,0.75637,0.001175,0.001175,0.001175
27,116.625,0.40253,0.29798,0.91819,0.99639,1,0.995,0.96999,0.23934,0.1806,0.76192,0.001142,0.001142,0.001142
28,120.88,0.401,0.28344,0.90141,0.99838,1,0.995,0.98166,0.22177,0.19068,0.75428,0.001109,0.001109,0.001109
29,125.068,0.37675,0.27442,0.90872,0.99772,1,0.995,0.98015,0.18413,0.18436,0.74802,0.001076,0.001076,0.001076
30,129.176,0.35986,0.26748,0.9069,0.99603,1,0.995,0.98284,0.19083,0.19845,0.7557,0.001043,0.001043,0.001043
31,133.444,0.37553,0.27407,0.89947,0.99836,1,0.995,0.98679,0.21245,0.17703,0.75414,0.00101,0.00101,0.00101
32,137.64,0.36737,0.26972,0.89773,0.99806,1,0.995,0.96407,0.2048,0.1704,0.76029,0.000977,0.000977,0.000977
33,141.807,0.35847,0.25305,0.89639,0.99842,1,0.995,0.98854,0.19674,0.16316,0.74662,0.000944,0.000944,0.000944
34,146.096,0.35604,0.25704,0.89083,0.99866,1,0.995,0.98131,0.19299,0.15237,0.75065,0.000911,0.000911,0.000911
35,150.148,0.36536,0.26408,0.89961,0.99468,1,0.995,0.98198,0.18158,0.16338,0.74985,0.000878,0.000878,0.000878
36,154.469,0.3513,0.25443,0.89339,0.99863,1,0.995,0.98237,0.16929,0.14628,0.7475,0.000845,0.000845,0.000845
37,158.571,0.34328,0.2465,0.88475,0.99685,1,0.995,0.98471,0.16393,0.15625,0.74725,0.000812,0.000812,0.000812
38,162.807,0.33878,0.24765,0.88945,0.99802,1,0.995,0.98083,0.18263,0.15418,0.74584,0.000779,0.000779,0.000779
39,167.035,0.34372,0.24481,0.89326,0.99867,1,0.995,0.98293,0.18091,0.16015,0.74659,0.000746,0.000746,0.000746
40,171.169,0.33205,0.24119,0.89011,0.99868,1,0.995,0.98116,0.16568,0.17093,0.74739,0.000713,0.000713,0.000713
41,175.4,0.33199,0.239,0.87861,0.99863,1,0.995,0.98868,0.15359,0.14453,0.74316,0.00068,0.00068,0.00068
42,179.589,0.32687,0.23944,0.88991,0.99738,1,0.995,0.9875,0.17551,0.13807,0.74309,0.000647,0.000647,0.000647
43,183.736,0.33208,0.24456,0.89213,0.99809,1,0.995,0.99288,0.16837,0.14756,0.74105,0.000614,0.000614,0.000614
44,188.034,0.32335,0.234,0.88337,0.99861,1,0.995,0.98222,0.16418,0.1397,0.74274,0.000581,0.000581,0.000581
45,192.071,0.31126,0.2261,0.87871,0.99866,1,0.995,0.98617,0.16089,0.15357,0.74429,0.000548,0.000548,0.000548
46,196.365,0.31021,0.22536,0.87777,0.99868,1,0.995,0.98669,0.1616,0.14956,0.74364,0.000515,0.000515,0.000515
47,200.441,0.31061,0.22463,0.87522,0.99834,1,0.995,0.98636,0.16406,0.13875,0.74429,0.000482,0.000482,0.000482
48,204.65,0.31659,0.22632,0.8795,0.99808,1,0.995,0.98208,0.15875,0.14581,0.74326,0.000449,0.000449,0.000449
49,208.823,0.30683,0.22102,0.87909,0.99548,1,0.995,0.993,0.15488,0.14215,0.74108,0.000416,0.000416,0.000416
50,212.899,0.30627,0.22053,0.8837,0.99689,1,0.995,0.98608,0.13562,0.14581,0.73692,0.000383,0.000383,0.000383
51,230.951,0.23755,0.18724,0.80712,0.99321,1,0.995,0.9899,0.14314,0.15489,0.73932,0.00035,0.00035,0.00035
52,235.008,0.23022,0.17789,0.80135,0.99645,1,0.995,0.98174,0.16502,0.14184,0.74068,0.000317,0.000317,0.000317
53,239.24,0.22753,0.17598,0.80269,0.99783,1,0.995,0.98219,0.15337,0.13686,0.73996,0.000284,0.000284,0.000284
54,243.28,0.21809,0.17147,0.81087,0.99754,1,0.995,0.9928,0.14946,0.12868,0.73957,0.000251,0.000251,0.000251
55,247.469,0.21881,0.16425,0.79337,0.9976,1,0.995,0.98762,0.14355,0.13093,0.73741,0.000218,0.000218,0.000218
56,251.599,0.21041,0.16284,0.79832,0.99783,1,0.995,0.99113,0.14216,0.12813,0.73601,0.000185,0.000185,0.000185
57,255.676,0.19607,0.15524,0.78924,0.99794,1,0.995,0.98858,0.13663,0.13071,0.73678,0.000152,0.000152,0.000152
58,259.905,0.19808,0.15365,0.78973,0.99835,1,0.995,0.99288,0.13013,0.1137,0.73566,0.000119,0.000119,0.000119
59,263.926,0.19232,0.15267,0.79438,0.998,1,0.995,0.99288,0.13845,0.10673,0.73494,8.6e-05,8.6e-05,8.6e-05
60,268.101,0.18856,0.14665,0.78607,0.99729,1,0.995,0.995,0.12437,0.1056,0.73457,5.3e-05,5.3e-05,5.3e-05
