epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13423,0.74114,0.68051,1.19176,0.92832,0.97134,0.98738,0.76197,0.47686,0.47495,0.95448,0.0004,0.0004,0.0004
2,6.76351,0.6485,0.58579,1.11573,0.92773,0.85,0.97163,0.84538,0.47258,0.46784,0.91346,0.000809853,0.000809853,0.000809853
3,8.58383,0.66221,0.55385,1.10349,0.95107,0.97199,0.98186,0.82167,0.49323,0.40422,0.91281,0.00120931,0.00120931,0.00120931
4,10.3919,0.63931,0.56327,1.05886,0.92153,0.975,0.97194,0.81488,0.51666,0.522,0.91482,0.00159837,0.00159837,0.00159837
5,11.9236,0.61903,0.53767,1.0536,0.96908,0.975,0.9916,0.89982,0.42025,0.44888,0.85668,0.001901,0.001901,0.001901
6,13.4782,0.62191,0.5362,1.0472,0.96513,1,0.99329,0.88384,0.42373,0.40222,0.88287,0.00187625,0.00187625,0.00187625
7,15.135,0.56894,0.4892,1.00526,0.95094,1,0.98956,0.90984,0.40389,0.41518,0.87053,0.0018515,0.0018515,0.0018515
8,16.9036,0.58118,0.47381,1.0096,0.99433,1,0.995,0.92012,0.41087,0.41924,0.86317,0.00182675,0.00182675,0.00182675
9,18.4961,0.56028,0.49075,0.99925,0.96907,0.975,0.9916,0.87074,0.47465,0.45787,0.90884,0.001802,0.001802,0.001802
10,20.3479,0.55694,0.47818,1.00857,1,0.99636,0.995,0.93447,0.37254,0.37963,0.83802,0.00177725,0.00177725,0.00177725
11,21.988,0.50574,0.44305,0.95115,0.97391,0.93334,0.96656,0.83471,0.47847,0.41399,0.92182,0.0017525,0.0017525,0.0017525
12,23.4983,0.52032,0.43223,0.98815,0.99488,0.975,0.99405,0.87553,0.48363,0.41455,0.91895,0.00172775,0.00172775,0.00172775
13,24.9873,0.51421,0.41124,0.96552,1,0.98553,0.995,0.92125,0.3782,0.34003,0.85815,0.001703,0.001703,0.001703
14,26.7545,0.53353,0.43339,0.97547,0.99772,1,0.995,0.8926,0.40397,0.34054,0.88224,0.00167825,0.00167825,0.00167825
15,28.4959,0.49714,0.40541,0.95236,1,0.99826,0.995,0.91414,0.3779,0.31699,0.84013,0.0016535,0.0016535,0.0016535
16,29.9979,0.50592,0.4128,0.96607,0.9973,1,0.995,0.94728,0.32279,0.3016,0.80982,0.00162875,0.00162875,0.00162875
17,31.6306,0.47583,0.38831,0.94773,0.99835,1,0.995,0.93512,0.31517,0.27713,0.80804,0.001604,0.001604,0.001604
18,33.3684,0.45911,0.38195,0.94337,0.99761,1,0.995,0.9279,0.36181,0.31186,0.83288,0.00157925,0.00157925,0.00157925
19,35.0922,0.44653,0.38307,0.93911,0.97449,1,0.99451,0.92794,0.32348,0.28799,0.8332,0.0015545,0.0015545,0.0015545
20,36.69,0.44197,0.37443,0.93295,0.99848,1,0.995,0.9348,0.33186,0.27913,0.81469,0.00152975,0.00152975,0.00152975
21,38.354,0.46734,0.38287,0.95089,0.9918,1,0.995,0.91463,0.31989,0.37312,0.82713,0.001505,0.001505,0.001505
22,40.1303,0.42359,0.36315,0.92164,0.97018,0.975,0.99118,0.929,0.34935,0.32326,0.81561,0.00148025,0.00148025,0.00148025
23,41.678,0.46783,0.36542,0.94594,0.96494,1,0.99378,0.92394,0.39058,0.31968,0.8349,0.0014555,0.0014555,0.0014555
24,43.2999,0.44396,0.35675,0.93915,0.99138,1,0.995,0.91045,0.37767,0.31596,0.83599,0.00143075,0.00143075,0.00143075
25,45.0624,0.44084,0.35032,0.93605,0.99185,1,0.995,0.95274,0.3036,0.27223,0.81779,0.001406,0.001406,0.001406
26,46.7326,0.4391,0.34325,0.92592,1,0.96561,0.99405,0.95208,0.2846,0.27636,0.79783,0.00138125,0.00138125,0.00138125
27,48.2894,0.42395,0.34046,0.93841,0.98546,1,0.995,0.93351,0.31072,0.28188,0.80189,0.0013565,0.0013565,0.0013565
28,49.8996,0.43257,0.35643,0.94015,0.99753,1,0.995,0.93686,0.34232,0.26899,0.8095,0.00133175,0.00133175,0.00133175
29,51.5948,0.41046,0.31895,0.91307,0.99815,1,0.995,0.93636,0.31683,0.26529,0.81706,0.001307,0.001307,0.001307
30,53.2016,0.39876,0.33615,0.91191,0.99733,1,0.995,0.95866,0.26773,0.24672,0.80194,0.00128225,0.00128225,0.00128225
31,54.8127,0.40808,0.32274,0.92629,0.99742,1,0.995,0.95873,0.27351,0.24309,0.79042,0.0012575,0.0012575,0.0012575
32,56.484,0.38656,0.30954,0.91046,0.99845,1,0.995,0.96135,0.25498,0.23881,0.78582,0.00123275,0.00123275,0.00123275
33,58.2133,0.41284,0.3239,0.92302,0.99846,1,0.995,0.95984,0.27444,0.25296,0.78394,0.001208,0.001208,0.001208
34,59.847,0.39114,0.30469,0.91134,0.99857,1,0.995,0.95251,0.27265,0.24596,0.78419,0.00118325,0.00118325,0.00118325
35,61.4737,0.39447,0.29782,0.91498,0.99784,1,0.995,0.95893,0.27216,0.23903,0.7866,0.0011585,0.0011585,0.0011585
